Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000054662,01/23/2019,1200,02/12/2019,1200,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K3,PIONEER SQUARE
2019000054670,02/13/2019,726,02/13/2019,856,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,F,F3,SOUTH PARK
2019000054674,02/11/2019,251,02/13/2019,753,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O2,GEORGETOWN
2019000054681,02/07/2019,1200,02/13/2019,805,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,N,N2,NORTHGATE
2019000054699,02/12/2019,2130,02/13/2019,824,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C3,MADRONA/LESCHI
2019000054700,02/07/2019,2000,02/13/2019,832,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D2,SLU/CASCADE
2019000054718,02/12/2019,2200,02/13/2019,849,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B2,BALLARD SOUTH
2019000054723,02/12/2019,1900,02/13/2019,904,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,L,L2,NORTHGATE
2019000054735,02/12/2019,2100,02/13/2019,915,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q1,MAGNOLIA
2019000054756,02/13/2019,936,02/13/2019,936,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,B,B3,WALLINGFORD
2019000054759,02/10/2019,1430,02/13/2019,1020,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D2,QUEEN ANNE
2019000054762,02/12/2019,1730,02/13/2019,1004,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
2019000054773,02/13/2019,928,02/13/2019,944,THEFT-BUILDING,THEFT-BUILDING,EAST,C,C1,MILLER PARK
2019000054774,02/13/2019,430,02/13/2019,947,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E3,FIRST HILL
2019000054776,02/13/2019,950,02/13/2019,1222,WEAPON,WEAPON-POSSESSION,WEST,D,D1,SLU/CASCADE
2019000054786,02/12/2019,1830,02/13/2019,1017,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
