DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100101245,07/17/2010,07/17/2010,0440,01,Central,0152,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,24,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,OLIVE                        ST,7TH                          ST,""(34.0467, -118.2556)"""
"100101258,07/21/2010,07/18/2010,2200,01,Central,0171,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 0416 0417 0429,32,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,341,624,,,800 W  OLYMPIC                      BL,,""(34.045, -118.264)"""
"100101260,07/19/2010,07/19/2010,2205,01,Central,0171,210,ROBBERY,0334 0337 0344 0416 1402,0,M,H,108,PARKING LOT,301,BELT FLAILING INSTRUMENT/CHAIN,AO,Adult Other,210,998,,,FIGUEROA,11TH                         ST,""(34.0437, -118.2652)"""
"100101262,07/21/2010,07/21/2010,1700,01,Central,0148,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1300,0,F,W,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,740,,,,5TH,TOWNE,""(34.0426, -118.2412)"""
"100101283,07/28/2010,07/27/2010,0005,01,Central,0156,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0552,12,F,B,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,812,998,,,500 S  SAN PEDRO                    ST,,""(34.0442, -118.2439)"""
"100101297,08/01/2010,08/01/2010,0115,01,Central,0101,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,9,M,O,101,STREET,,,IC,Invest Cont,745,,,,900    EVERETT                      ST,,""(34.0673, -118.2499)"""
"100101298,08/01/2010,08/01/2010,1100,01,Central,0162,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,60,M,W,101,STREET,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,624,,,,500 W  7TH                          ST,,""(34.0467, -118.2556)"""
"100101307,08/05/2010,08/05/2010,1410,01,Central,0185,623,BATTERY POLICE (SIMPLE),1212,0,M,H,102,SIDEWALK,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,623,,,,300 E  12TH                         ST,,""(34.0363, -118.2573)"""
"100101319,08/07/2010,08/06/2010,1730,01,Central,0176,310,BURGLARY,0344 1307 1609,29,F,O,402,MARKET,,,IC,Invest Cont,310,,,,300 E  8TH                          ST,,""(34.0413, -118.2517)"""
"100101329,08/11/2010,08/11/2010,1630,01,Central,0166,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 1402,60,M,B,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,AA,Adult Arrest,341,998,,,500 E  7TH                          ST,,""(34.0412, -118.2474)"""
